dt,ticker,close,high,low
2016-04-08,FDX,163.46,165.49,161.92
2016-04-11,AAL,38.72,39.55,38.5
2016-04-11,AIG,53.2,53.76,53.2
2016-04-11,CAT,74.59,75.779,74.55
2016-04-11,CVS,100.7,101.75,100.7
2016-04-11,F,12.63,12.8,12.55
2016-04-11,FDX,163.05,165.1,163.03
2016-04-12,AAL,39.18,39.43,38.73
2016-04-12,AIG,53.23,53.87,53.145
2016-04-12,CAT,76.1,76.74,74.47
2016-04-12,CVS,101.23,101.45,100.41
2016-04-12,F,12.79,12.84,12.66
2016-04-12,FDX,165.11,165.78,163.04
2016-04-13,AAL,39.94,40.01,38.89
2016-04-13,AIG,55.13,55.15,54.07
2016-04-13,CAT,78.94,79.16,76.37
2016-04-13,CVS,101.39,101.94,100.98
2016-04-13,F,13.05,13.12,12.84
2016-04-13,FDX,167.22,167.45,165.7
2016-04-14,AAL,41.21,41.66,40.2
2016-04-14,AIG,55.26,55.58,54.82
2016-04-14,CAT,79.05,79.72,78.37
2016-04-14,CVS,101.06,101.62,100.86
2016-04-14,F,13.11,13.18,13.02
2016-04-14,FDX,165.67,167.55,165.64
2016-04-15,AAL,41.0,41.37,40.72
2016-04-15,AIG,54.9,55.59,54.86
2016-04-15,CAT,79.29,79.78,78.5
2016-04-15,CVS,102.24,102.38,100.59
2016-04-15,F,12.95,13.12,12.85
2016-04-15,FDX,165.9,166.417,164.82
2016-04-18,AAL,40.85,41.26,40.435
2016-04-18,AIG,55.01,55.31,54.62
2016-04-18,CAT,79.25,79.87,77.95
2016-04-18,CVS,102.5,103.225,101.97
2016-04-18,F,13.28,13.29,12.9
2016-04-18,FDX,167.13,167.375,164.81
2016-04-19,AAL,41.34,41.76,40.9658
2016-04-19,AIG,55.72,56.05,55.28
2016-04-19,CAT,80.3,80.89,79.4601
2016-04-19,CVS,103.46,103.6,102.51
2016-04-19,F,13.41,13.54,13.25
2016-04-19,FDX,168.27,169.2999,166.65
2016-04-20,AAL,41.15,41.71,40.83
2016-04-20,AIG,56.2,56.4,55.75
2016-04-20,CAT,79.8,80.6,79.3
2016-04-20,CVS,102.82,103.45,102.351
2016-04-20,F,13.68,13.72,13.4
2016-04-20,FDX,167.4,168.95,167.35
2016-04-21,AAL,39.78,41.27,39.78
2016-04-21,AIG,55.5,56.24,55.5
2016-04-21,CAT,77.1,79.58,77.1
2016-04-21,CVS,101.22,102.87,101.03
2016-04-21,F,13.6,13.93,13.56
2016-04-21,FDX,165.31,167.606,165.16
2016-04-22,AAL,38.22,40.73,37.01
2016-04-22,AIG,56.19,56.21,55.54
2016-04-22,CAT,78.24,79.5,75.5
2016-04-22,CVS,101.24,101.62,100.4
2016-04-22,F,13.63,13.78,13.51
2016-04-22,FDX,166.32,166.93,165.06
2016-04-25,AAL,37.1,38.4,36.915
2016-04-25,AIG,55.95,56.08,55.41
2016-04-25,CAT,76.84,78.99,76.2
2016-04-25,CVS,101.94,101.99,100.78
2016-04-25,F,13.59,13.66,13.47
2016-04-25,FDX,165.73,167.23,164.025
2016-04-26,AAL,36.94,37.49,36.26
2016-04-26,AIG,56.55,56.67,55.78
2016-04-26,CAT,77.4,77.79,76.47
2016-04-26,CVS,102.5,102.89,101.66
2016-04-26,F,13.73,13.82,13.58
2016-04-26,FDX,167.1,167.6,164.5
2016-04-27,AAL,36.74,37.29,36.52
2016-04-27,AIG,56.67,56.91,56.34
2016-04-27,CAT,78.68,78.89,77.5
2016-04-27,CVS,102.72,103.419,101.91
2016-04-27,F,13.68,13.71,13.59
2016-04-27,FDX,167.56,168.2,166.22
2016-04-28,AAL,36.12,37.3,35.89
2016-04-28,AIG,55.87,56.665,55.74
2016-04-28,CAT,77.97,79.17,77.595
2016-04-28,CVS,101.25,102.41,101.0
2016-04-28,F,14.13,14.22,13.64
2016-04-28,FDX,165.66,168.16,165.46
2016-04-29,AAL,34.9,36.0,34.1
2016-04-29,AIG,55.83,56.03,55.28
2016-04-29,CAT,77.7,79.0,77.32
2016-04-29,CVS,100.79,101.34,99.87
2016-04-29,F,13.55,14.03,13.5
2016-04-29,FDX,165.0,165.67,163.7415
2016-05-02,AAL,34.56,35.165,34.4
2016-05-02,AIG,54.75,56.8,54.01
2016-05-02,CAT,77.88,78.07,76.62
2016-05-02,CVS,101.99,102.0,100.26
2016-05-02,F,13.59,13.79,13.31
2016-05-02,FDX,167.59,168.1799,165.5
2016-05-03,AAL,34.65,35.19,33.85
2016-05-03,AIG,55.94,56.06,54.45
2016-05-03,CAT,76.36,77.1,75.585
2016-05-03,CVS,104.0,104.82,100.52
2016-05-03,F,13.43,13.6,13.15
2016-05-03,FDX,167.59,167.59,163.17
2016-05-04,AAL,33.31,34.3,33.0
2016-05-04,AIG,54.85,55.5,54.45
2016-05-04,CAT,73.43,77.07,72.9
2016-05-04,CVS,104.18,104.42,102.93
2016-05-04,F,13.34,13.38,13.14
2016-05-04,FDX,165.25,167.35,164.53
2016-05-05,AAL,32.89,33.96,32.73
2016-05-05,AIG,54.75,55.0301,54.55
2016-05-05,CAT,72.8,74.6,72.7
2016-05-05,CVS,104.87,105.61,103.77
2016-05-05,F,13.32,13.43,13.22
2016-05-05,FDX,160.5,166.0,160.075
2016-05-06,AAL,32.97,33.44,32.19
2016-05-06,AIG,55.0,55.085,54.31
2016-05-06,CAT,73.32,73.42,71.6201
2016-05-06,CVS,104.82,105.5,104.35
2016-05-06,F,13.47,13.48,13.21
2016-05-06,FDX,160.23,161.54,157.69
2016-05-09,AAL,32.93,33.8,32.88
2016-05-09,AIG,55.058,55.4301,54.75
2016-05-09,CAT,70.7,73.6,70.57
2016-05-09,CVS,106.1716,106.67,104.8
2016-05-09,F,13.28,13.5,13.28
2016-05-09,FDX,162.29,162.9,161.14
2016-05-10,AAL,33.71,33.8,32.94
2016-05-10,AIG,56.28,56.95,55.325
2016-05-10,CAT,72.51,72.71,70.59
2016-05-10,CVS,106.1,106.3501,105.59
2016-05-10,F,13.46,13.52,13.33
2016-05-10,FDX,163.05,163.94,161.9
2016-05-11,AAL,32.88,34.04,32.74
2016-05-11,AIG,55.96,56.6,55.89
2016-05-11,CAT,72.35,73.61,72.25
2016-05-11,CVS,104.19,105.88,104.14
2016-05-11,F,13.29,13.54,13.29
2016-05-11,FDX,161.29,163.95,160.86
2016-05-12,AAL,31.29,33.13,31.21
2016-05-12,AIG,56.3,56.45,55.9
2016-05-12,CAT,71.69,73.4,71.18
2016-05-12,CVS,104.85,105.45,104.0
2016-05-12,F,13.36,13.47,13.17
2016-05-12,FDX,159.37,162.46,158.22
2016-05-13,AAL,31.51,32.01,30.99
2016-05-13,AIG,55.67,56.7,55.61
2016-05-13,CAT,70.02,71.7799,69.89
2016-05-13,CVS,103.67,105.0,103.47
2016-05-13,F,13.22,13.52,13.17
2016-05-13,FDX,157.73,159.39,156.92
2016-05-16,AAL,32.43,32.44,30.99
2016-05-16,AIG,55.4,55.9,55.24
2016-05-16,CAT,70.6,71.7,70.0
2016-05-16,CVS,104.55,104.76,103.27
2016-05-16,F,13.32,13.375,13.2
2016-05-16,FDX,158.3,159.21,156.91
2016-05-17,AAL,32.65,33.29,32.02
2016-05-17,AIG,55.48,55.98,55.12
2016-05-17,CAT,71.18,72.18,70.45
2016-05-17,CVS,102.11,104.54,101.73
2016-05-17,F,13.15,13.31,13.07
2016-05-17,FDX,158.75,160.68,157.85
2016-05-18,AAL,32.45,33.36,32.34
2016-05-18,AIG,56.67,56.77,55.21
2016-05-18,CAT,70.41,71.87,70.08
2016-05-18,CVS,101.03,102.3967,99.65
2016-05-18,F,13.19,13.34,13.05
2016-05-18,FDX,159.49,160.63,158.0
2016-05-19,AAL,32.3,32.59,31.69
2016-05-19,AIG,56.36,56.67,55.83
2016-05-19,CAT,69.43,70.2,69.035
2016-05-19,CVS,100.96,102.11,100.1
2016-05-19,F,13.09,13.195,13.02
2016-05-19,FDX,159.09,160.22,157.835
2016-05-20,AAL,32.06,32.81,31.95
2016-05-20,AIG,56.97,57.5,56.54
2016-05-20,CAT,69.96,70.78,69.51
2016-05-20,CVS,99.4,101.36,99.08
2016-05-20,F,13.2,13.26,13.1
2016-05-20,FDX,161.63,162.46,159.53
2016-05-23,AAL,31.71,32.32,31.7
2016-05-23,AIG,56.9,57.09,56.61
2016-05-23,CAT,70.4,70.95,69.59
2016-05-23,CVS,98.07,99.71,97.94
2016-05-23,F,13.13,13.2,13.11
2016-05-23,FDX,162.04,162.78,161.1
2016-05-24,AAL,32.15,32.275,31.85
2016-05-24,AIG,57.7,57.9,57.13
2016-05-24,CAT,71.15,71.25,70.25
2016-05-24,CVS,97.68,98.84,97.13
2016-05-24,F,13.3,13.3,13.16
2016-05-24,FDX,164.38,164.98,161.99
2016-05-25,AAL,32.18,32.9,32.1
2016-05-25,AIG,58.05,58.36,57.78
2016-05-25,CAT,72.58,72.7,71.26
2016-05-25,CVS,97.53,98.23,97.35
2016-05-25,F,13.49,13.6,13.29
2016-05-25,FDX,164.22,165.97,164.03
2016-05-26,AAL,31.65,32.341,31.37
2016-05-26,AIG,57.75,57.99,57.64
2016-05-26,CAT,72.08,73.59,72.06
2016-05-26,CVS,96.95,98.0,96.66
2016-05-26,F,13.49,13.68,13.37
2016-05-26,FDX,163.4,164.48,162.82
2016-05-27,AAL,31.68,32.21,31.2
2016-05-27,AIG,58.29,58.33,57.775
2016-05-27,CAT,71.96,72.2,71.5
2016-05-27,CVS,96.94,97.2699,96.7
2016-05-27,F,13.47,13.5401,13.4
2016-05-27,FDX,164.47,164.54,163.18
2016-05-31,AAL,31.93,31.97,31.33
2016-05-31,AIG,57.85,58.585,57.7
2016-05-31,CAT,72.51,73.17,71.95
2016-05-31,CVS,96.45,97.18,96.2
2016-05-31,F,13.5,13.56,13.4
2016-05-31,FDX,164.97,167.0,164.48
2016-06-01,AAL,31.98,32.26,31.73
2016-06-01,AIG,57.8,57.9,57.015
2016-06-01,CAT,72.27,72.51,71.27
2016-06-01,CVS,96.69,96.71,95.81
2016-06-01,F,13.09,13.46,12.97
2016-06-01,FDX,164.99,164.99,162.37
2016-06-02,AAL,31.72,32.2,31.51
2016-06-02,AIG,57.84,57.89,57.395
2016-06-02,CAT,73.62,73.64,72.27
2016-06-02,CVS,96.48,97.08,96.16
2016-06-02,F,13.21,13.32,13.03
2016-06-02,FDX,164.8,165.1,163.7
2016-06-03,AAL,30.8,31.62,30.37
2016-06-03,AIG,57.26,57.53,56.69
2016-06-03,CAT,75.04,75.14,73.0
2016-06-03,CVS,96.4,96.53,95.9
2016-06-03,F,13.03,13.22,12.9
2016-06-03,FDX,163.82,164.05599999999995,161.0
2016-06-06,AAL,31.25,31.31,30.38
2016-06-06,AIG,57.2,57.6,56.97
2016-06-06,CAT,76.42,76.55,75.11
2016-06-06,CVS,96.31,96.7,95.985
2016-06-06,F,13.19,13.21,13.04
2016-06-06,FDX,164.25,164.25,161.66
2016-06-07,AAL,32.29,32.87,31.1
2016-06-07,AIG,57.01,57.58,57.0
2016-06-07,CAT,76.51,77.28,76.37
2016-06-07,CVS,96.62,97.52,96.33
2016-06-07,F,13.38,13.45,13.18
2016-06-07,FDX,164.84,165.32,163.81
2016-06-08,AAL,32.51,32.97,32.22
2016-06-08,AIG,56.92,57.3401,56.84
2016-06-08,CAT,78.08,78.7,77.01
2016-06-08,CVS,98.2,98.41,96.6201
2016-06-08,F,13.35,13.49,13.33
2016-06-08,FDX,164.75,165.9,164.49
2016-06-09,AAL,33.38,33.58,32.25
2016-06-09,AIG,56.1,56.51,55.99
2016-06-09,CAT,77.13,78.0,76.63600000000002
2016-06-09,CVS,96.98,98.67,96.75
2016-06-09,F,13.26,13.34,13.14
2016-06-09,FDX,164.2,164.5,162.88
2016-06-10,AAL,33.1,33.4792,32.64
2016-06-10,AIG,54.96,55.73,54.8
2016-06-10,CAT,76.0,76.65,75.3801
2016-06-10,CVS,96.67,97.69,96.06
2016-06-10,F,13.14,13.25,13.05
2016-06-10,FDX,160.87,163.285,160.32
2016-06-13,AAL,31.7,33.02,31.64
2016-06-13,AIG,54.36,55.14,54.36
2016-06-13,CAT,75.0,76.34,75.0
2016-06-13,CVS,95.78,96.73,95.6
2016-06-13,F,12.98,13.13,12.96
2016-06-13,FDX,160.7,161.97,160.3
2016-06-14,AAL,30.49,31.97,30.02
2016-06-14,AIG,53.99,54.47,53.54
2016-06-14,CAT,74.69,75.55,73.95
2016-06-14,CVS,96.25,96.7125,95.17
2016-06-14,F,12.84,13.07,12.76
2016-06-14,FDX,159.75,161.45,158.4694
2016-06-15,AAL,30.55,31.1,30.31
2016-06-15,AIG,53.46,54.41,53.46
2016-06-15,CAT,75.07,75.95,74.34
2016-06-15,CVS,96.0,97.08,95.95
2016-06-15,F,13.01,13.16,12.88
2016-06-15,FDX,159.66,161.33,159.51
2016-06-16,AAL,29.22,30.1,29.02
2016-06-16,AIG,53.63,53.69,52.75
2016-06-16,CAT,74.99,75.14,73.35
2016-06-16,CVS,95.8,95.8,94.57
2016-06-16,F,13.14,13.14,12.85
2016-06-16,FDX,161.99,162.285,157.51
2016-06-17,AAL,29.34,29.55,28.85
2016-06-17,AIG,53.42,53.99,53.15
2016-06-17,CAT,75.93,76.66,74.99
2016-06-17,CVS,94.87,95.68,94.47
2016-06-17,F,13.2,13.4,13.15
2016-06-17,FDX,162.3,162.74,161.27
2016-06-20,AAL,29.72,30.39,29.29
2016-06-20,AIG,53.73,54.4799,53.695
2016-06-20,CAT,76.51,77.44,76.04
2016-06-20,CVS,93.27,95.3,93.18
2016-06-20,F,13.42,13.55,13.25
2016-06-20,FDX,164.75,166.5,163.17
2016-06-21,AAL,29.85,30.51,29.69
2016-06-21,AIG,53.79,54.11,53.56
2016-06-21,CAT,76.49,76.9,76.01
2016-06-21,CVS,93.15,93.95,92.84
2016-06-21,F,13.21,13.55,13.18
2016-06-21,FDX,161.92,168.11,158.5
2016-06-22,AAL,30.0,30.33,29.82
2016-06-22,AIG,53.72,54.3,53.65
2016-06-22,CAT,76.58,77.09,76.18
2016-06-22,CVS,93.74,94.05,93.23
2016-06-22,F,13.2,13.48,13.15
2016-06-22,FDX,157.16,163.5,156.4
2016-06-23,AAL,30.0,30.6,29.77
2016-06-23,AIG,55.0,55.0,54.2
2016-06-23,CAT,78.01,78.6,77.07
2016-06-23,CVS,94.0,94.5,93.44
2016-06-23,F,13.4,13.45,13.25
2016-06-23,FDX,157.89,158.66,156.51
2016-06-24,AAL,26.99,29.3,26.85
2016-06-24,AIG,50.72,53.0,50.37
2016-06-24,CAT,73.1,75.95,72.83
2016-06-24,CVS,93.5352,94.52,90.51
2016-06-24,F,12.55,12.97,12.45
2016-06-24,FDX,150.5851,154.065,149.5
2016-06-27,AAL,25.46,26.89,24.85
2016-06-27,AIG,48.74,50.01,48.41
2016-06-27,CAT,71.3,73.0,70.53
2016-06-27,CVS,93.24,93.6,92.7
2016-06-27,F,12.2,12.55,12.0
2016-06-27,FDX,146.13,149.41,145.0
2016-06-28,AAL,26.78,26.9,25.7
2016-06-28,AIG,49.9,49.99,48.8
2016-06-28,CAT,72.5,72.9,71.51
2016-06-28,CVS,93.7,94.67,92.81
2016-06-28,F,12.39,12.45,12.21
2016-06-28,FDX,148.1,149.24,146.19
2016-06-29,AAL,27.79,28.065,26.75
2016-06-29,AIG,51.85,51.85,49.9
2016-06-29,CAT,74.3,74.45,72.79
2016-06-29,CVS,94.41,94.65,94.01
2016-06-29,F,12.58,12.59,12.36
2016-06-29,FDX,150.26,150.57,148.59
2016-06-30,AAL,28.19,28.31,27.49
2016-06-30,AIG,52.89,52.92,51.504
2016-06-30,CAT,75.74,75.85,73.97
2016-06-30,CVS,95.52,95.74,94.36
2016-06-30,F,12.53,12.62,12.26
2016-06-30,FDX,151.78,155.0,149.01
2016-07-01,AAL,29.35,29.52,28.2
2016-07-01,AIG,52.87,53.3,52.56
2016-07-01,CAT,76.5,76.99,74.92
2016-07-01,CVS,95.1,96.65,94.72
2016-07-01,F,12.72,12.92,12.42
